id,rate,"review",user_id,shop_id,"created_at","updated_at","images"
4,5,"3jeovj",1,2,"2019-06-20 06:02:47","2019-06-20 06:02:47",""
5,3,"よよよよよ",1,2,"2019-06-20 06:08:33","2019-06-20 06:08:33",""
8,3,"グレートだぜ",1,7,"2019-06-20 08:48:21","2019-06-20 08:48:21",""
9,4,"肉肉しくてよかった
ボリュームも満足",1,10,"2019-06-24 05:55:34","2019-06-24 05:55:34",""
10,5,"日本にこんな場所があるなんて！感動しました",1,1,"2019-06-26 05:03:31","2019-06-26 05:03:31",""
11,5,"スーパースターを見た",1,1,"2019-06-26 05:13:39","2019-06-26 05:13:39",""
12,4,"ちょっと高いかな、、、",1,1,"2019-06-26 05:21:14","2019-06-26 05:21:14",""
13,5,"日本最高峰と世界的アーティストとの共演！素晴らしかったです。",1,1,"2019-06-26 05:27:23","2019-06-26 05:27:23",""
14,3,"うるさい客がいてとても迷惑でした。演奏とサービスは良かったです。",1,1,"2019-06-26 05:28:54","2019-06-26 05:28:54","bluenote.jpg"
15,3,"なかなかなゆったり感でした！",2,18,"2019-06-26 06:43:58","2019-06-26 06:43:58","hurotest.jpg"
16,2,"客が悪質！楽しく麻雀したかっただけなのに！もう！",2,21,"2019-06-26 06:46:09","2019-06-26 06:46:09","majan.jpg"
17,5,"サイコーにアガった！！！！
また行きたいな！！！",2,5,"2019-06-26 06:47:36","2019-06-26 06:47:36","zimazinetest.jpg"
18,3,"見た目でテンション上がったけど、味は普通。
まあ、こんなもんかね。",2,7,"2019-06-26 06:49:05","2019-06-26 06:49:05","greatbu.jpg"
19,4,"音はいいんだけど、フロアが平らじゃないので下手するとつまづく。
いい箱なんだけどねえ...",2,3,"2019-06-26 06:51:24","2019-06-26 06:51:24","mandala.jpg"
20,4,"ちょーかわ❤︎
やばかったああああ❤︎❤︎❤︎",3,12,"2019-06-26 06:56:57","2019-06-26 06:56:57","sibuyamoka.jpg"
21,1,"猫ちゃんかわわ（キュンキュン！！！）
でもおっさんがいてテンションだうん",3,13,"2019-06-26 06:59:20","2019-06-26 06:59:20","neko-cafe-mocha-harajuku.jpg"
22,5,"たまにはおっきいおフロで自分にご褒美！
おふろの写真は載せられないよ〜",3,18,"2019-06-26 07:01:31","2019-06-26 07:01:31","raku-a.jpg"
23,3,"えみちょの演奏会だった！
ボサノバとかあんまり聞かないけど、まあまあ良かったよ〜！！
また遊ぼうね❤︎",3,3,"2019-06-26 07:04:36","2019-06-26 07:04:36","mandara2.jpg"
24,1,"悲しいことがあったのでおっきいおふろに来ました。
でも、悲しいまんま...
誰か慰めて欲しい...さみしい...",3,16,"2019-06-26 07:08:42","2019-06-26 07:08:42","teruma-.jpg"
25,4,"今日はサイコー！良かった！",2,4,"2019-06-26 07:11:48","2019-06-26 07:11:48","croco.jpg"
26,3,"よくあるアメリカンバーガー。良くも悪くも普通に美味しい。",2,6,"2019-06-26 07:13:32","2019-06-26 07:13:32","ferouzu.jpg"
27,5,"このアボガド感！！すごくない！？
初めてだよこんなの！めっちゃうまかった！",2,9,"2019-06-26 07:15:12","2019-06-26 07:15:12","3rdbur.jpg"
28,4,"最近ハンバーガーにはまっている今日この頃。ホホカンはやっぱりこのチキンバーガー。肉感がたまらない。",2,8,"2019-06-26 07:17:00","2019-06-26 07:17:00","hohokan.jpg"
29,5,"究極のバーガーってこれのことをいうのかもしれん...やばい。今まで食べたバーガーの中で一番うまかった...写真の写りが悪いのがほんと悔しいけど、大丈夫。また撮ってくるから。何がこうでうまい、ってのじゃないんだよ。パティとバンズとジューシーなベーコン、囲むようにチーズ。少しのピクルス。一つ一つは珍しくもなんともないし、どれか一つが抜きん出て主張しているわけでもない。でも、それらが混ざり合い、刺激し合うバランスがほんともう絶妙。なんじゃこりゃ。今までの固定観念ぶち壊される。こんな普通のバーガーに。いや普通じゃないんだけど。
未体験の方、とにかく食べたほうがいい。とにかく行ってくれ。頼む。",2,10,"2019-06-26 07:25:58","2019-06-26 07:25:58","greatbur.jpg"
30,4,"きれいなのがとっても良い！！！！
マイクロバブル湯気になってたから入れて良かった〜〜〜",4,20,"2019-06-26 08:17:16","2019-06-26 08:17:16","萩の湯.jpeg"
31,5,"豆柴かわいい！！！！！！！！
元気に遊んでて和みました。
明日から仕事がんばるぞー！",4,15,"2019-06-26 08:26:36","2019-06-26 08:26:36","豆柴.jpeg"
32,4,"店内がかわいくてどこで猫を撮っても映える！！(^-^)
ノルウェージャンフォレストキャット推し",4,12,"2019-06-26 08:37:12","2019-06-26 08:37:12","モカ.jpeg"
33,4,"渋谷店とは猫ちゃんの雰囲気が違って、ここもとっても良かった☺️
他の店舗にも行きたい〜！",4,13,"2019-06-26 08:43:22","2019-06-26 08:43:22","モカ２.jpeg"
34,5,"アボカド大好きだから迷わずこれ！！
ほんとに美味しかった〜〜",4,10,"2019-06-26 08:47:19","2019-06-26 08:47:19","アボカドバーガー.jpeg"
35,5,"きれいだしとにかく雰囲気が好き！
テンション上がるーーーーーーーーー
温泉も充実してるし、サウナの種類もよき。
通いたいレベル。",4,18,"2019-06-26 08:55:26","2019-06-26 08:55:26","スパラクーア.jpeg"
