id,"shop_name","latitude","longitude","genre","link","created_at","updated_at","address","avatar"
1,"Blue Note Tokyo","","","Live House","http://www.bluenote.co.jp/jp/",NULL,NULL,"東京都 港区 南青山6-3-16","https://cdn.img.connect.airregi.jp/imgmgr/pictures/KR00179555/release/ALL/folder1/tennai_JALAN_160204.jpg?v=1&size=pict640_480"
2,"BODY & SOUL","","","Live House","http://www.bodyandsoul.co.jp/",NULL,NULL,"東京都 港区 南青山6-13-9","https://imgfp.hotp.jp/IMGH/84/85/P023898485/P023898485_480.jpg"
3,"南青山MANDALA","","","Live House","https://mandala.gr.jp/aoyama/index.html",NULL,NULL,"東京都 港区 南青山3-2-2","https://uds.gnst.jp/rest/img/2a07kjtr0000/s_0000.jpg"
4,"CROCODILE","","","Live House","http://www.crocodile-live.jp/",NULL,NULL,"東京都 渋谷区 神宮前6-18-8","https://uds.gnst.jp/rest/fs_img/2d6c12ag0000/s_1001.jpg"
5,"Zimagine","","","Live House","http://zimagine.genonsha.co.jp/",NULL,NULL,"東京都 港区北青山 2-7-17",""
6,"THE BURGER STAND FELLOWS","","","Hamburger Shop","http://www.fellows-burger.com/",NULL,NULL,"東京都港区北青山3-8-11","https://tblg.k-img.com/restaurant/images/Rvw/100299/640x640_rect_100299008.jpg"
7,"ザ グレートバーガー","","","Hamburger Shop","http://www.the-great-burger.com",NULL,NULL,"東京都渋谷区神宮前6-12-5","https://media.timeout.com/images/104034959/630/472/image.jpg"
8,"cafe Hohokam","","","Hamburger Shop","http://www.cafe-hohokam.com/",NULL,NULL,"東京都渋谷区神宮前3-22-14","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/66549/66549150.jpg?token=0c21802&api=v2"
9,"the 3rd Burger 青山骨董通り店","","","Hamburger Shop","http://the3rdburger.com/index.html",NULL,NULL,"東京都港区南青山5-11-2","https://tblg.k-img.com/restaurant/images/Rvw/64146/640x640_rect_64146210.jpg"
10,"ゴールデンブラウン","","","Hamburger Shop","http://www.omotesandohills.com/shopdetails/index.php?sid=163",NULL,NULL,"東京都渋谷区神宮前4-12-1","https://fo6wa6lbm7843t.cdn.jp.idcfcloud.com/common/img/ec/item/aoyama/600/BR17.jpg"
11,"jazz bird","","","Live House","http://jazzbird.sakura.ne.jp/","2019-06-20 06:42:27","2019-06-20 06:42:27","東京都港区南青山3-13-1","https://tblg.k-img.com/restaurant/images/Rvw/73705/640x640_rect_73705560.jpg"
12,"猫カフェ MOCHA(モカ)渋谷センター街店","","","Animal Cafe","http://catmocha.jp/shibuya/",NULL,NULL,"東京都渋谷区宇田川町３２−１２","https://tblg.k-img.com/restaurant/images/Rvw/84902/640x640_rect_84902329.jpg"
13,"猫カフェ MOCHA(モカ)原宿店","","","Animal Cafe","http://catmocha.jp/harajuku/",NULL,NULL,"東京都渋谷区神宮前１丁目１４−２５","https://res.fashionsnap.com/image/upload/f_auto,q_auto/media/2016/03/neko_cafe_20160309_001.jpg"
14,"猫カフェ MOCHA(モカ)原宿竹下通り店","","","Animal Cafe","http://catmocha.jp/harajukutakeshitadori/",NULL,NULL,"東京都渋谷区神宮前１丁目１９−９","https://i.pinimg.com/originals/f4/08/07/f40807bfc85134100eeffb9ca3f4d14a.jpg"
15,"原宿乃フクロウの森と豆柴カフェ","","","Animal Cafe","http://owls-cats-forest.com/free/mameshiba-harajuku",NULL,NULL,"東京都渋谷区神宮前１丁目６番１０号","https://goope.akamaized.net/44356/180426141754-5ae161029def3_l.jpg"
16,"テルマー湯","","","Spa","http://thermae-yu.jp/",NULL,NULL,"東京都新宿区歌舞伎町1丁目1-2","https://c-www-lets.gnst.jp/solo/sites/solo/files/819_eye2.jpg?t=1539770372"
17,"RAKU SPA 1010 神田","","","Spa","http://rakuspa.com/kanda/",NULL,NULL,"東京都千代田区神田淡路町2-9-9","http://rakuspa.com/kanda/common/img/ogp2019.jpg"
18,"スパ ラクーア","","","Spa","https://www.laqua.jp/spa/",NULL,NULL,"東京都文京区春日1-1-1","https://www.laqua.jp/themes/default/img/spa/about/img_pic01.png"
19,"和 -なごみ-","","","Spa","http://www.spa-nagomi.com/",NULL,NULL,"東京都大田区西蒲田7-4-12",""
20,"ひだまりの泉 萩の湯","","","Spa","http://haginoyu.jp/",NULL,NULL,"東京都台東区根岸2-13-13","http://haginoyu.jp/wp-content/uploads/2017/05/roten.jpg"
21,"麻雀ウェルカム 渋谷店","","","Mah‐jongg Parlor","https://mahjong-welcome.com/shibuya.html",NULL,NULL,"東京都渋谷区神南１丁目２２−７","https://mj-king.net/img/Tempo/8140/image2/a20160228-DSC_0006.jpg"
22,"麻雀ZOO 渋谷文化村通り店","","","Mah‐jongg Parlor","http://www.mj-zoo.jp/shop/shibuya.html",NULL,NULL,"東京都渋谷区道玄坂２丁目２９−１８","http://mj-zoo.jp/shop/ph/shibuya2.jpg"
23,"麻雀ZOO 渋谷バスケ通り店","","","Mah‐jongg Parlor","http://www.mj-zoo.jp/shop/shibuya_basket.html",NULL,NULL,"東京都渋谷区宇田川町２８−２",""
24,"雀荘 すずめ荘","","","Mah‐jongg Parlor","https://mj-king.net/tempos/view/9802",NULL,NULL,"東京都渋谷区道玄坂１丁目１１","https://mj-king.net/img/Tempo/9802/photogallery/shibuya4.jpg"
25,"THE ALDGATE British Pub","","","British Pub","http://www.the-aldgate.com/",NULL,NULL,"東京都渋谷区宇田川町３０−４","https://new-beergirl-image-checking.s3.amazonaws.com/image/upload/2017/08/7312fc76-3fdf-4452-98b3-ae54a196f8eb.png"
26,"Hobgoblin Shibuya British Pub","","","British Pub","http://hobgoblin.jp/",NULL,NULL,"東京都渋谷区道玄坂１丁目３−１１","https://jobsinjapan.com/files/userfiles/images/shibuya_hobgoblin.jpg"
27,"BLUE MOOD","","","Live House","https://blue-mood.jp/","2019-06-27 01:40:02","2019-06-27 01:40:02","東京都中央区築地５丁目６−１０","https://blue-mood.jp/wp-content/uploads/2014/06/floorguide_key1.jpg"
28,"Bubby’s Shiodome","","","Hamburger Shop","https://bubbys.jp/locations/shiodome/","2019-06-27 01:48:52","2019-06-27 01:48:52","東京都港区東新橋1-5-2","https://www.shiodome-cc.com/image/shiodomecc/store/storage/w420xh315/b2f_buddys_d_shop.jpg"
29,"FIRE HOUSE DELIVERY SERVICE 新橋店","","","Hamburger Shop","http://www.firehouse.co.jp/","2019-06-27 01:51:29","2019-06-27 01:51:29","東京都港区東新橋２丁目１０−７","http://resize.blogsys.jp/8c61ab91a20e7c24fde2a5ddc26aa231042c32e0/trim2/0x384_22p_1200x604/http://livedoor.blogimg.jp/log_taka-test4/imgs/f/c/fc09c3f0.jpg"
30,"ザ・ローズ&クラウン 汐留日テレプラザ店","","","British Pub","https://www.dynac-japan.com/shop/roseandcrown/shiodome/","2019-06-27 01:54:44","2019-06-27 01:54:44","東京都港区東新橋1-6-1","https://www.dynac-japan.com/roseandcrown/wp-content/uploads/sites/33/2017/08/2281_1_RC_shiodome_tennai_1_650.jpg"
31,"TimesSPA RESTA","","","Spa","http://www.timesspa-resta.jp/","2019-06-27 01:57:54","2019-06-27 01:57:54","東京都豊島区東池袋４丁目２５−９","https://cdn.fashionsnap.com/article/2018/01/timesspa-resta-20171208_131.jpg"
32,"前野原温泉　さやの湯処","","","Spa","https://www.sayanoyudokoro.co.jp/","2019-06-27 01:59:43","2019-06-27 01:59:43","東京都板橋区前野町3ー41ー1","https://rymanlife.com/wp-content/uploads/2018/10/rymanlife-sayanoyudokoro11.png"
33,"MARTINI BURGER","","","Hamburger Shop","http://martini-burger.com/","2019-06-27 02:01:19","2019-06-27 02:01:19","東京都新宿区中里町31","https://tblg.k-img.com/restaurant/images/Rvw/92868/640x640_rect_92868376.jpg"
34,"金春湯","","","Spa","http://www002.upp.so-net.ne.jp/konparu/","2019-06-27 02:10:36","2019-06-27 02:10:36","東京都中央区銀座8-7-5","https://komparu-ginza.com/wp/wp-content/uploads/2014/11/048.jpg"
